Offense,Month,Attempted,Completed,Total
09A - Murder and Nonnegligent Manslaughter,Jan - 2019,,61,61
,Feb - 2019,,82,82
,Mar - 2019,,74,74
,Apr - 2019,,63,63
,May - 2019,,102,102
,Jun - 2019,,81,81
,Jul - 2019,,66,66
,Aug - 2019,,108,108
,Sep - 2019,,87,87
,Oct - 2019,,80,80
,Nov - 2019,,104,104
,Dec - 2019,,96,96
,Jan - 2020,,117,117
,Feb - 2020,,91,91
,Mar - 2020,,128,128
,Apr - 2020,,118,118
,May - 2020,,132,132
,Jun - 2020,,126,126
,Jul - 2020,,126,126
,Aug - 2020,,145,145
,Sep - 2020,,131,131
,Oct - 2020,,184,184
,Nov - 2020,,180,180
,Dec - 2020,,180,180
,Jan - 2021,,175,175
,Feb - 2021,,164,164
,Mar - 2021,,147,147
,Apr - 2021,,170,170
,May - 2021,,195,195
,Jun - 2021,,186,186
,Jul - 2021,,169,169
,Aug - 2021,,162,162
,Sep - 2021,,198,198
,Oct - 2021,,197,197
,Nov - 2021,,159,159
,Dec - 2021,,150,150
,Jan - 2022,,198,198
,Feb - 2022,,165,165
,Mar - 2022,,166,166
,Apr - 2022,,163,163
,May - 2022,,214,214
,Jun - 2022,,252,252
,Jul - 2022,,184,184
,Aug - 2022,,165,165
,Sep - 2022,,140,140
,Oct - 2022,,172,172
,Nov - 2022,,138,138
,Dec - 2022,,144,144
,Jan - 2023,,169,169
,Feb - 2023,,138,138
,Mar - 2023,,150,150
,Apr - 2023,,154,154
,May - 2023,,156,156
,Jun - 2023,,165,165
,Jul - 2023,,180,180
,Aug - 2023,,150,150
,Sep - 2023,,182,182
,Oct - 2023,,146,146
,Nov - 2023,,141,141
,Dec - 2023,,167,167
,Jan - 2024,,146,146
,Feb - 2024,,120,120
,Mar - 2024,,119,119
,Apr - 2024,,133,133
,May - 2024,,163,163
,Jun - 2024,,137,137
,Jul - 2024,,154,154
,Aug - 2024,,130,130
,Sep - 2024,,140,140
,Oct - 2024,,154,154
,Nov - 2024,,134,134
,Dec - 2024,,121,121
09B - Negligent Manslaughter,Jan - 2019,,8,8
,Feb - 2019,,6,6
,Mar - 2019,,6,6
,Apr - 2019,,3,3
,May - 2019,,7,7
,Jun - 2019,,7,7
,Jul - 2019,,5,5
,Aug - 2019,,4,4
,Sep - 2019,,3,3
,Oct - 2019,,7,7
,Nov - 2019,,14,14
,Dec - 2019,,1,1
,Jan - 2020,,8,8
,Feb - 2020,,13,13
,Mar - 2020,,11,11
,Apr - 2020,,11,11
,May - 2020,,16,16
,Jun - 2020,,23,23
,Jul - 2020,,17,17
,Aug - 2020,,22,22
,Sep - 2020,,12,12
,Oct - 2020,,11,11
,Nov - 2020,,18,18
,Dec - 2020,,20,20
,Jan - 2021,,32,32
,Feb - 2021,,13,13
,Mar - 2021,,20,20
,Apr - 2021,,29,29
,May - 2021,,20,20
,Jun - 2021,,29,29
,Jul - 2021,,28,28
,Aug - 2021,,23,23
,Sep - 2021,,24,24
,Oct - 2021,,23,23
,Nov - 2021,,16,16
,Dec - 2021,,25,25
,Jan - 2022,,34,34
,Feb - 2022,,16,16
,Mar - 2022,,18,18
,Apr - 2022,,18,18
,May - 2022,,29,29
,Jun - 2022,,23,23
,Jul - 2022,,27,27
,Aug - 2022,,28,28
,Sep - 2022,,29,29
,Oct - 2022,,23,23
,Nov - 2022,,17,17
,Dec - 2022,,17,17
,Jan - 2023,,18,18
,Feb - 2023,,8,8
,Mar - 2023,,23,23
,Apr - 2023,,19,19
,May - 2023,,21,21
,Jun - 2023,,11,11
,Jul - 2023,,26,26
,Aug - 2023,,18,18
,Sep - 2023,,19,19
,Oct - 2023,,18,18
,Nov - 2023,,18,18
,Dec - 2023,,21,21
,Jan - 2024,,12,12
,Feb - 2024,,14,14
,Mar - 2024,,21,21
,Apr - 2024,,20,20
,May - 2024,,13,13
,Jun - 2024,,22,22
,Jul - 2024,,17,17
,Aug - 2024,,27,27
,Sep - 2024,,21,21
,Oct - 2024,,29,29
,Nov - 2024,,22,22
,Dec - 2024,,9,9
09C - Justifiable Homicide,Jan - 2019,,5,5
,Feb - 2019,,3,3
,Mar - 2019,,,0
,Apr - 2019,,4,4
,May - 2019,,5,5
,Jun - 2019,,1,1
,Jul - 2019,,8,8
,Aug - 2019,,,0
,Sep - 2019,,2,2
,Oct - 2019,,4,4
,Nov - 2019,,4,4
,Dec - 2019,,3,3
,Jan - 2020,,2,2
,Feb - 2020,,6,6
,Mar - 2020,,3,3
,Apr - 2020,,4,4
,May - 2020,,4,4
,Jun - 2020,,7,7
,Jul - 2020,,1,1
,Aug - 2020,,6,6
,Sep - 2020,,2,2
,Oct - 2020,,4,4
,Nov - 2020,,5,5
,Dec - 2020,,2,2
,Jan - 2021,,7,7
,Feb - 2021,,4,4
,Mar - 2021,,5,5
,Apr - 2021,,6,6
,May - 2021,,5,5
,Jun - 2021,,9,9
,Jul - 2021,,4,4
,Aug - 2021,,11,11
,Sep - 2021,,9,9
,Oct - 2021,,7,7
,Nov - 2021,,4,4
,Dec - 2021,,7,7
,Jan - 2022,,9,9
,Feb - 2022,,8,8
,Mar - 2022,,3,3
,Apr - 2022,,5,5
,May - 2022,,6,6
,Jun - 2022,,3,3
,Jul - 2022,,11,11
,Aug - 2022,,10,10
,Sep - 2022,,10,10
,Oct - 2022,,4,4
,Nov - 2022,,8,8
,Dec - 2022,,6,6
,Jan - 2023,,10,10
,Feb - 2023,,9,9
,Mar - 2023,,11,11
,Apr - 2023,,8,8
,May - 2023,,9,9
,Jun - 2023,,2,2
,Jul - 2023,,12,12
,Aug - 2023,,12,12
,Sep - 2023,,5,5
,Oct - 2023,,7,7
,Nov - 2023,,7,7
,Dec - 2023,,12,12
,Jan - 2024,,11,11
,Feb - 2024,,11,11
,Mar - 2024,,13,13
,Apr - 2024,,11,11
,May - 2024,,17,17
,Jun - 2024,,9,9
,Jul - 2024,,10,10
,Aug - 2024,,10,10
,Sep - 2024,,9,9
,Oct - 2024,,11,11
,Nov - 2024,,6,6
,Dec - 2024,,7,7
100 - Kidnapping/Abduction,Jan - 2019,6,133,139
,Feb - 2019,5,126,131
,Mar - 2019,8,137,145
,Apr - 2019,9,143,152
,May - 2019,6,178,184
,Jun - 2019,14,156,170
,Jul - 2019,7,174,181
,Aug - 2019,15,188,203
,Sep - 2019,14,167,181
,Oct - 2019,15,164,179
,Nov - 2019,22,132,154
,Dec - 2019,10,172,182
,Jan - 2020,20,167,187
,Feb - 2020,11,199,210
,Mar - 2020,9,184,193
,Apr - 2020,10,170,180
,May - 2020,19,199,218
,Jun - 2020,6,197,203
,Jul - 2020,9,241,250
,Aug - 2020,17,274,291
,Sep - 2020,14,278,292
,Oct - 2020,14,248,262
,Nov - 2020,12,237,249
,Dec - 2020,19,263,282
,Jan - 2021,9,229,238
,Feb - 2021,4,200,204
,Mar - 2021,22,276,298
,Apr - 2021,16,261,277
,May - 2021,15,265,280
,Jun - 2021,19,255,274
,Jul - 2021,10,263,273
