Month,Offense,Outcome,Count
2019-01-01,Aggravated Assault,Completed,3347.0
2019-02-01,Aggravated Assault,Completed,2997.0
2019-03-01,Aggravated Assault,Completed,3838.0
2019-04-01,Aggravated Assault,Completed,3706.0
2019-05-01,Aggravated Assault,Completed,4375.0
2019-06-01,Aggravated Assault,Completed,4196.0
2019-07-01,Aggravated Assault,Completed,4395.0
2019-08-01,Aggravated Assault,Completed,4511.0
2019-09-01,Aggravated Assault,Completed,4948.0
2019-10-01,Aggravated Assault,Completed,4514.0
2019-11-01,Aggravated Assault,Completed,4375.0
2019-12-01,Aggravated Assault,Completed,4357.0
2020-01-01,Aggravated Assault,Completed,4452.0
2020-02-01,Aggravated Assault,Completed,4416.0
2020-03-01,Aggravated Assault,Completed,5452.0
2020-04-01,Aggravated Assault,Completed,5503.0
2020-05-01,Aggravated Assault,Completed,6559.0
2020-06-01,Aggravated Assault,Completed,6408.0
2020-07-01,Aggravated Assault,Completed,6728.0
2020-08-01,Aggravated Assault,Completed,7104.0
2020-09-01,Aggravated Assault,Completed,6141.0
2020-10-01,Aggravated Assault,Completed,6845.0
2020-11-01,Aggravated Assault,Completed,7087.0
2020-12-01,Aggravated Assault,Completed,6955.0
2021-01-01,Aggravated Assault,Completed,7334.0
2021-02-01,Aggravated Assault,Completed,6308.0
2021-03-01,Aggravated Assault,Completed,7186.0
2021-04-01,Aggravated Assault,Completed,7779.0
2021-05-01,Aggravated Assault,Completed,8448.0
2021-06-01,Aggravated Assault,Completed,8340.0
2021-07-01,Aggravated Assault,Completed,8569.0
2021-08-01,Aggravated Assault,Completed,8248.0
2021-09-01,Aggravated Assault,Completed,7550.0
2021-10-01,Aggravated Assault,Completed,8014.0
2021-11-01,Aggravated Assault,Completed,7158.0
2021-12-01,Aggravated Assault,Completed,7626.0
2022-01-01,Aggravated Assault,Completed,7358.0
2022-02-01,Aggravated Assault,Completed,6664.0
2022-03-01,Aggravated Assault,Completed,7861.0
2022-04-01,Aggravated Assault,Completed,8238.0
2022-05-01,Aggravated Assault,Completed,8910.0
2022-06-01,Aggravated Assault,Completed,7922.0
2022-07-01,Aggravated Assault,Completed,8349.0
2022-08-01,Aggravated Assault,Completed,7852.0
2022-09-01,Aggravated Assault,Completed,7611.0
2022-10-01,Aggravated Assault,Completed,7642.0
2022-11-01,Aggravated Assault,Completed,6803.0
2022-12-01,Aggravated Assault,Completed,7174.0
